date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-08,moderna,fully_vaccinated,0,0,331715,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-09,moderna,fully_vaccinated,0,0,338653,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-10,moderna,fully_vaccinated,0,0,341009,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-11,moderna,fully_vaccinated,0,0,341206,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-12,moderna,fully_vaccinated,0,0,345279,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-13,moderna,fully_vaccinated,0,0,350661,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-14,moderna,fully_vaccinated,0,0,355928,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-15,moderna,fully_vaccinated,0,0,361985,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-16,moderna,fully_vaccinated,0,0,367745,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-17,moderna,fully_vaccinated,0,0,369768,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-18,moderna,fully_vaccinated,0,0,369792,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-19,moderna,fully_vaccinated,0,0,374587,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-20,moderna,fully_vaccinated,0,0,383682,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-21,moderna,fully_vaccinated,0,0,394527,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-22,moderna,fully_vaccinated,0,0,409813,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-23,moderna,fully_vaccinated,0,0,422276,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-24,moderna,fully_vaccinated,0,0,426932,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-25,moderna,fully_vaccinated,0,0,427585,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-26,moderna,fully_vaccinated,0,0,441290,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-27,moderna,fully_vaccinated,0,0,459117,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-28,moderna,fully_vaccinated,0,0,473978,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-29,moderna,fully_vaccinated,0,0,489247,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-30,moderna,fully_vaccinated,0,0,497540,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-01,moderna,fully_vaccinated,0,0,498862,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-02,moderna,fully_vaccinated,0,0,499256,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-03,moderna,fully_vaccinated,0,0,504335,0,NA,0.14,0.03,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-04,moderna,fully_vaccinated,0,0,516336,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-05,moderna,fully_vaccinated,1,1,530662,0.19,NA,0.14,0.03,100,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-06,moderna,fully_vaccinated,0,1,549045,0,NA,0.14,0.03,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-07,moderna,fully_vaccinated,0,1,567316,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-08,moderna,fully_vaccinated,0,1,574051,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-09,moderna,fully_vaccinated,0,1,576083,0,NA,0,0,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-10,moderna,fully_vaccinated,0,1,591445,0,NA,0,0,0,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-11,moderna,fully_vaccinated,0,1,611196,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-12,moderna,fully_vaccinated,0,1,631991,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-13,moderna,fully_vaccinated,0,1,638801,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-14,moderna,fully_vaccinated,0,1,658629,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-15,moderna,fully_vaccinated,0,1,667868,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-16,moderna,fully_vaccinated,0,1,669682,0,NA,0,0,0,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-17,moderna,fully_vaccinated,0,1,689789,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-18,moderna,fully_vaccinated,0,1,714191,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-05-19,moderna,fully_vaccinated,0,1,737808,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
