date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202109,female,unknown,3712,23608,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,male,fully_vaccinated,5,14,148445,3.37,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,male,partially_vaccinated,6,48,120051,5,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,male,not_vaccinated,80,473,4019582,1.99,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,male,unknown,3697,22317,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,fully_vaccinated,0,0,37,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,unknown,10,19,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,female,fully_vaccinated,15,35,229220,6.54,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,female,partially_vaccinated,11,98,174358,6.31,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,female,not_vaccinated,93,487,3953124,2.35,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,female,unknown,4359,27967,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,male,fully_vaccinated,9,23,174999,5.14,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,male,partially_vaccinated,5,53,132874,3.76,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,male,not_vaccinated,75,548,3980205,1.88,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,male,unknown,4234,26551,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,fully_vaccinated,0,0,46,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,unknown,3,22,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,female,fully_vaccinated,17,52,273065,6.23,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,female,partially_vaccinated,2,100,172803,1.16,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,female,not_vaccinated,90,577,3910834,2.3,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,female,unknown,5206,33173,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,male,fully_vaccinated,11,34,204906,5.37,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,male,partially_vaccinated,19,72,138342,13.73,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,male,not_vaccinated,113,661,3944830,2.86,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,male,unknown,5048,31599,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,fully_vaccinated,0,0,64,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,partially_vaccinated,0,0,73,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,unknown,3,25,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,female,fully_vaccinated,14,66,312239,4.48,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,female,partially_vaccinated,5,105,195125,2.56,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,female,not_vaccinated,113,690,3849338,2.94,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,female,unknown,6113,39286,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,male,fully_vaccinated,13,47,235136,5.53,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,male,partially_vaccinated,6,78,160262,3.74,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,male,not_vaccinated,153,814,3892680,3.93,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,male,unknown,6143,37742,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,unknown,fully_vaccinated,0,0,69,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202112,unknown,unknown,7,32,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,female,fully_vaccinated,24,90,349099,6.87,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,female,partially_vaccinated,7,112,217952,3.21,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,female,not_vaccinated,109,799,3789651,2.88,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,female,unknown,6081,45367,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,male,fully_vaccinated,18,65,264864,6.8,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,male,partially_vaccinated,10,88,180083,5.55,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,male,not_vaccinated,155,969,3843131,4.03,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,male,unknown,5914,43656,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,fully_vaccinated,0,0,74,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,partially_vaccinated,0,0,94,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,unknown,4,36,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,female,fully_vaccinated,24,114,397962,6.03,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,female,partially_vaccinated,16,128,235589,6.79,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,female,not_vaccinated,119,918,3723151,3.2,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,female,unknown,6941,52308,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,male,fully_vaccinated,19,84,303679,6.26,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,male,partially_vaccinated,13,101,199047,6.53,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,male,not_vaccinated,135,1104,3785352,3.57,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,male,unknown,6924,50580,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,fully_vaccinated,0,0,83,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,partially_vaccinated,0,0,114,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,unknown,4,40,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,female,fully_vaccinated,28,142,444501,6.3,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,female,partially_vaccinated,12,140,302861,3.96,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,female,not_vaccinated,118,1036,3609340,3.27,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,female,unknown,6742,59050,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,male,fully_vaccinated,17,101,342395,4.97,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,male,partially_vaccinated,14,115,259373,5.4,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,male,not_vaccinated,165,1269,3686310,4.48,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,male,unknown,7054,57634,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,fully_vaccinated,0,0,130,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,partially_vaccinated,0,0,111,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,unknown,0,40,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,female,fully_vaccinated,25,167,504131,4.96,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,female,partially_vaccinated,20,160,381629,5.24,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,female,not_vaccinated,130,1166,3470942,3.75,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,female,unknown,6940,65990,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,male,fully_vaccinated,20,121,393367,5.08,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,male,partially_vaccinated,23,138,331365,6.94,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,male,not_vaccinated,166,1435,3563346,4.66,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,male,unknown,7255,64889,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,unknown,fully_vaccinated,0,0,144,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
