date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202112,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,female,fully_vaccinated,4,22,349099,1.15,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,female,partially_vaccinated,0,28,217952,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,female,not_vaccinated,97,625,3789651,2.56,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,female,unknown,131,1118,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,male,fully_vaccinated,12,33,264864,4.53,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,male,partially_vaccinated,8,38,180083,4.44,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,male,not_vaccinated,133,778,3843131,3.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,male,unknown,155,1322,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,fully_vaccinated,0,0,74,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,partially_vaccinated,0,0,94,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202113,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,female,fully_vaccinated,6,28,397962,1.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,female,partially_vaccinated,9,37,235589,3.82,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,female,not_vaccinated,90,715,3723151,2.42,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,female,unknown,110,1228,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,male,fully_vaccinated,8,41,303679,2.63,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,male,partially_vaccinated,7,45,199047,3.52,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,male,not_vaccinated,130,908,3785352,3.43,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,male,unknown,167,1489,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,fully_vaccinated,0,0,83,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,partially_vaccinated,0,0,114,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202114,unknown,unknown,1,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,female,fully_vaccinated,9,37,444501,2.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,female,partially_vaccinated,2,39,302861,0.66,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,female,not_vaccinated,115,830,3609340,3.19,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,female,unknown,84,1312,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,male,fully_vaccinated,8,49,342395,2.34,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,male,partially_vaccinated,8,53,259373,3.08,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,male,not_vaccinated,151,1059,3686310,4.1,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,male,unknown,124,1613,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,fully_vaccinated,0,0,130,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,partially_vaccinated,0,0,111,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202115,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,female,fully_vaccinated,2,39,504131,0.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,female,partially_vaccinated,7,46,381629,1.83,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,female,not_vaccinated,116,946,3470942,3.34,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
