date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202110,male,partially_vaccinated,2,21,132874,1.51,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,male,not_vaccinated,24,159,3980205,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,male,unknown,18,214,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,fully_vaccinated,0,0,46,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,female,fully_vaccinated,0,5,273065,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,female,partially_vaccinated,3,30,172803,1.74,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,female,not_vaccinated,9,128,3910834,0.23,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,female,unknown,14,221,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,male,fully_vaccinated,1,3,204906,0.49,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,male,partially_vaccinated,3,24,138342,2.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,male,not_vaccinated,13,172,3944830,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,male,unknown,18,232,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,fully_vaccinated,0,0,64,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,partially_vaccinated,0,0,73,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
