geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
SH,202137,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,256,155,101,1,100,82348,3.64,310.88,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,0,0,0,0
SO,202137,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1215,788,427,1,100,275247,6.54,441.42,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,5,1.82,38.5,0
SZ,202137,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,688,500,188,1,100,160480,4.99,428.71,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-3,-1.86,-27.3,0
TG,202137,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,954,600,354,1,100,279547,4.65,341.27,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,0,0,0,0
TI,202137,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3271,2610,661,1,100,351491,1.71,930.61,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,2,0.57,50,0
UR,202137,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,148,71,77,1,100,36703,2.72,403.24,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,0,0,0,0
VD,202137,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3261,2384,877,1,100,805098,1.74,405.04,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-5,-0.62,-26.3,0
VS,202137,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1378,1061,317,1,100,345525,0.58,398.81,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-1,-0.29,-33.3,0
ZG,202137,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,282,114,168,1,100,127642,6.27,220.93,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,1,0.79,14.3,0
ZH,202137,65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5084,3071,2013,1,100,1539275,4.22,330.29,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-16,-1.04,-19.8,0
AG,202138,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2034,1257,777,1,100,685845,2.04,296.57,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-38,-11,-1.61,-44,0
AI,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54,42,12,NA,NA,16128,0,334.82,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-38,-2,-12.4,-100,NA
AR,202138,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,208,160,48,1,100,55445,7.21,375.15,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-38,3,5.41,300,0
