date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-17,moderna,fully_vaccinated,0,10,226668,0,NA,0.14,0.06,0,14.71,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-18,moderna,fully_vaccinated,0,10,235884,0,NA,0.14,0.06,0,14.29,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-19,moderna,fully_vaccinated,0,10,243789,0,NA,0.14,0.06,0,13.51,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-20,moderna,fully_vaccinated,1,11,245468,0.41,NA,0.14,0.06,50,14.47,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-21,moderna,fully_vaccinated,0,11,245581,0,NA,0.14,0.06,0,14.29,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-22,moderna,fully_vaccinated,0,11,252500,0,NA,0.14,0.06,0,14.1,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-23,moderna,fully_vaccinated,0,11,260276,0,NA,0.14,0.05,0,13.75,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-24,moderna,fully_vaccinated,0,11,267539,0,NA,0.14,0.05,NA,13.75,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-25,moderna,fully_vaccinated,0,11,275397,0,NA,0.14,0.05,0,13.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-26,moderna,fully_vaccinated,0,11,281413,0,NA,0.14,0.05,NA,13.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-27,moderna,fully_vaccinated,1,12,282646,0.35,NA,0.14,0.05,100,14.29,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-28,moderna,fully_vaccinated,0,12,283152,0,NA,0.14,0.05,0,13.95,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-29,moderna,fully_vaccinated,0,12,288389,0,NA,0.29,0.1,0,13.48,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-30,moderna,fully_vaccinated,0,12,293234,0,NA,0.29,0.1,0,13.33,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-31,moderna,fully_vaccinated,0,12,299492,0,NA,0.29,0.1,0,13.19,9.52,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-01,moderna,fully_vaccinated,1,13,307419,0.33,NA,0.29,0.09,33.33,13.83,9.52,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-02,moderna,fully_vaccinated,0,13,309065,0,NA,0.57,0.18,0,13.4,16.67,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-03,moderna,fully_vaccinated,1,14,310192,0.32,NA,0.57,0.18,33.33,14,16.67,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-04,moderna,fully_vaccinated,0,14,310205,0,NA,0.71,0.23,0,13.73,30.95,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-05,moderna,fully_vaccinated,2,16,310509,0.64,NA,0.71,0.23,50,15.09,29.05,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-06,moderna,fully_vaccinated,0,16,317497,0,NA,0.71,0.22,0,14.55,29.05,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-07,moderna,fully_vaccinated,1,17,324034,0.31,NA,0.57,0.18,100,15.32,24.29,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-08,moderna,fully_vaccinated,1,18,331715,0.3,NA,0.57,0.17,20,15.52,24.29,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-09,moderna,fully_vaccinated,0,18,338653,0,NA,0.43,0.13,0,15,21.9,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-10,moderna,fully_vaccinated,0,18,341009,0,NA,0.43,0.13,0,14.75,21.9,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-11,moderna,fully_vaccinated,0,18,341206,0,NA,0.43,0.13,0,14.29,14.76,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-12,moderna,fully_vaccinated,1,19,345279,0.29,NA,0.43,0.12,33.33,14.73,15.48,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-13,moderna,fully_vaccinated,0,19,350661,0,NA,0.57,0.16,0,14.29,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-14,moderna,fully_vaccinated,1,20,355928,0.28,NA,0.71,0.2,50,14.81,25,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-15,moderna,fully_vaccinated,1,21,361985,0.28,NA,0.71,0.2,25,15.11,25,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-16,moderna,fully_vaccinated,1,22,367745,0.27,NA,0.71,0.19,16.67,15.17,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-17,moderna,fully_vaccinated,1,23,369768,0.27,NA,0.71,0.19,50,15.65,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-18,moderna,fully_vaccinated,0,23,369792,0,NA,0.57,0.15,0,15.54,15.48,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-19,moderna,fully_vaccinated,1,24,374587,0.27,NA,0.43,0.11,16.67,15.58,11.91,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-20,moderna,fully_vaccinated,0,24,383682,0,NA,0.29,0.08,0,15.38,9.52,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-21,moderna,fully_vaccinated,0,24,394527,0,NA,0.29,0.07,0,15.29,16.67,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-22,moderna,fully_vaccinated,0,24,409813,0,NA,0.29,0.07,0,15.19,16.67,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-23,moderna,fully_vaccinated,0,24,422276,0,NA,0.29,0.07,0,14.72,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-24,moderna,fully_vaccinated,1,25,426932,0.23,NA,0.43,0.1,100,15.24,23.81,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-25,moderna,fully_vaccinated,0,25,427585,0,NA,0.43,0.1,0,14.88,23.81,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-26,moderna,fully_vaccinated,1,26,441290,0.23,NA,0.57,0.13,33.33,15.2,26.67,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-27,moderna,fully_vaccinated,1,27,459117,0.22,NA,0.71,0.15,33.33,15.52,31.43,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-28,moderna,fully_vaccinated,0,27,473978,0,NA,0.57,0.12,0,15,17.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-29,moderna,fully_vaccinated,1,28,489247,0.2,NA,0.57,0.12,20,15.14,17.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-04-30,moderna,fully_vaccinated,1,29,497540,0.2,NA,0.43,0.09,33.33,15.43,12.38,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
