geoRegion,datum,entries,sumTotal,timeframe_7d,offset_last7d,sumTotal_last7d,timeframe_14d,offset_last14d,sumTotal_last14d,timeframe_28d,offset_last28d,sumTotal_last28d,timeframe_phase2,offset_Phase2,sumTotal_Phase2,timeframe_phase2b,offset_Phase2b,sumTotal_Phase2b,timeframe_phase3,offset_Phase3,sumTotal_Phase3,timeframe_vacc_info,offset_vacc_info,sumTotal_vacc_info,timeframe_phase4,offset_Phase4,sumTotal_Phase4,sum7d,sum14d,mean7d,mean14d,timeframe_all,entries_diff_last_age,pop,inz_entries,inzmean7d,inzmean14d,inzsumTotal,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsumTotal_Phase2,inzsumTotal_Phase2b,inzsumTotal_Phase3,inzsumTotal_Phase4,inzsum7d,inzsum14d,sumdelta7d,inzdelta7d,type,type_variant,version,datum_unit,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last
CH,2020-03-31,44,482,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,313,435,54.43,50.21,TRUE,3,8606033,0.51,0.63,0.58,5.6,NA,NA,NA,NA,NA,NA,NA,3.64,5.05,25,0.29000000000000004,COVID19Death,,2021-10-11_08-00-56,day,44,0,8
CH,2020-04-01,59,541,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,333,486,54.14,51.57,TRUE,3,8606033,0.69,0.63,0.6,6.29,NA,NA,NA,NA,NA,NA,NA,3.87,5.65,20,0.22999999999999998,COVID19Death,,2021-10-11_08-00-56,day,59,0,8
CH,2020-04-02,61,602,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,356,533,55,52.07,TRUE,3,8606033,0.71,0.64,0.61,7,NA,NA,NA,NA,NA,NA,NA,4.14,6.19,23,0.2699999999999996,COVID19Death,,2021-10-11_08-00-56,day,61,0,8
CH,2020-04-03,57,659,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,381,569,53.86,53.5,TRUE,3,8606033,0.66,0.63,0.62,7.66,NA,NA,NA,NA,NA,NA,NA,4.43,6.61,25,0.29000000000000004,COVID19Death,,2021-10-11_08-00-56,day,57,0,8
CH,2020-04-04,55,714,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,379,605,55.71,52.64,TRUE,3,8606033,0.64,0.65,0.61,8.3,NA,NA,NA,NA,NA,NA,NA,4.4,7.03,-2,-0.02999999999999936,COVID19Death,,2021-10-11_08-00-56,day,55,0,8
CH,2020-04-05,51,765,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,385,638,55.57,52,TRUE,3,8606033,0.59,0.65,0.6,8.89,NA,NA,NA,NA,NA,NA,NA,4.47,7.41,6,0.0699999999999994,COVID19Death,,2021-10-11_08-00-56,day,51,0,8
CH,2020-04-06,50,815,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,377,665,53.29,50.43,TRUE,3,8606033,0.58,0.62,0.59,9.47,NA,NA,NA,NA,NA,NA,NA,4.38,7.73,-8,-0.08999999999999986,COVID19Death,,2021-10-11_08-00-56,day,50,0,8
CH,2020-04-07,57,872,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,390,703,52.57,49.93,TRUE,3,8606033,0.66,0.61,0.58,10.13,NA,NA,NA,NA,NA,NA,NA,4.53,8.17,13,0.15000000000000036,COVID19Death,,2021-10-11_08-00-56,day,57,0,8
CH,2020-04-08,58,930,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,389,722,51.14,48.43,TRUE,3,8606033,0.67,0.59,0.56,10.81,NA,NA,NA,NA,NA,NA,NA,4.52,8.39,-1,-0.010000000000000675,COVID19Death,,2021-10-11_08-00-56,day,58,0,8
CH,2020-04-09,45,975,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,373,729,49,46.79,TRUE,3,8606033,0.52,0.57,0.54,11.33,NA,NA,NA,NA,NA,NA,NA,4.33,8.47,-16,-0.1899999999999995,COVID19Death,,2021-10-11_08-00-56,day,45,0,8
