sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
unknown,GR,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,JU,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,LU,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,2,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,NE,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,NW,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,OW,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,SG,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,SH,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,SO,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5,2,3,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,SZ,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,3,1,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,TG,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,TI,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,UR,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,VD,202117,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,48,38,10,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,1,NA,NA,0.1
unknown,VS,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6,4,2,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,ZG,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,ZH,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,28,24,4,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
male,AG,202118,395,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,22372,16113,6259,0.503,50.3,344733,114.58,6489.66,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-18,-82,-23.79,-17.2,-2.6000000000000085
male,AI,202118,14,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,537,418,119,0.778,77.8,8303,168.61,6467.54,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-18,-12,-144.53,-46.2,20
male,AR,202118,24,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1749,1357,392,0.444,44.4,27938,85.9,6260.29,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-18,-7,-25.06,-22.6,-13
male,BE,202118,498,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,29901,22988,6913,0.477,47.699999999999996,510170,97.61,5860.99,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-18,-37,-7.26,-6.9,-1.8000000000000043
male,BL,202118,183,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8669,6172,2497,0.507,50.7,141890,128.97,6109.66,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-18,-55,-38.77,-23.1,0.5
male,BS,202118,141,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6207,4543,1664,0.483,48.3,94997,148.43,6533.89,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-18,-44,-46.31,-23.8,-3.200000000000003
