date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202106,80+,partially_vaccinated,17,47,131207,12.96,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,80+,not_vaccinated,59,166,283041,20.85,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,80+,unknown,293,1205,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,unknown,0,2,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,0 - 9,fully_vaccinated,0,0,17,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,0 - 9,partially_vaccinated,0,0,15,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,0 - 9,not_vaccinated,2,20,877067,0.23,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,0 - 9,unknown,223,1396,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,fully_vaccinated,0,0,625,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,partially_vaccinated,0,1,1302,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,not_vaccinated,2,10,846148,0.24,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,unknown,858,4141,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,20 - 29,fully_vaccinated,0,0,5109,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,20 - 29,partially_vaccinated,0,2,8806,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
