date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202105,70 - 79,fully_vaccinated,0,0,10736,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,70 - 79,partially_vaccinated,2,3,92681,2.16,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,70 - 79,not_vaccinated,29,41,621486,4.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,70 - 79,unknown,69,143,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,fully_vaccinated,0,0,20158,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,partially_vaccinated,3,4,123421,2.43,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,not_vaccinated,34,52,311619,10.91,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,unknown,113,233,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,fully_vaccinated,0,0,14,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,partially_vaccinated,0,0,16,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,not_vaccinated,4,16,877069,0.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,fully_vaccinated,0,0,428,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,partially_vaccinated,0,0,1235,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,not_vaccinated,3,5,846412,0.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,unknown,0,3,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,fully_vaccinated,0,0,3778,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,partially_vaccinated,0,0,8163,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,not_vaccinated,7,11,1037918,0.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,unknown,3,14,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,fully_vaccinated,0,0,5821,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,partially_vaccinated,0,0,12946,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,not_vaccinated,0,10,1215376,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,unknown,8,26,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,fully_vaccinated,0,0,7682,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,partially_vaccinated,1,1,18209,5.49,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,not_vaccinated,7,19,1177933,0.59,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,unknown,20,51,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,fully_vaccinated,0,0,10719,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,partially_vaccinated,0,0,30484,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,not_vaccinated,17,35,1257706,1.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,unknown,29,103,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,fully_vaccinated,0,0,9202,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,partially_vaccinated,1,1,33066,3.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,not_vaccinated,13,44,910502,1.43,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,unknown,44,145,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,fully_vaccinated,1,1,24542,4.07,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,partially_vaccinated,0,3,100641,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,not_vaccinated,21,62,599720,3.5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,unknown,50,193,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,80+,fully_vaccinated,2,2,40950,4.88,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,80+,partially_vaccinated,3,7,131207,2.29,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,80+,not_vaccinated,47,99,283041,16.61,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,80+,unknown,81,314,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,0 - 9,fully_vaccinated,0,0,17,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,0 - 9,partially_vaccinated,0,0,15,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
